1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
116	-1.151239	85.746706	12.162730	0.010715	2.7
117	-1.113559	86.746706	12.049847	0.009431	2.8
118	-1.113369	86.691765	12.055995	0.014457	2.8
119	-1.135835	87.691765	11.945076	0.010627	2.7
120	-1.138351	88.691628	11.836194	0.007536	3.0
121	-1.171778	88.636695	11.842124	0.007272	3.0
122	-1.135758	89.113962	11.790797	0.007162	3.0
123	-1.123300	90.113380	11.684744	0.006672	2.9
124	-1.083057	90.059112	11.690453	0.008176	2.7
125	-1.138046	91.057796	11.586265	0.008072	3.4
126	-1.118379	92.057795	11.483785	0.006580	2.7
127	-1.105669	92.101738	11.479323	0.010427	2.7
128	-1.087270	92.047682	11.484812	0.015040	2.8
129	-1.158041	93.047682	11.384110	0.014064	2.8
130	-1.118734	94.047682	11.285159	0.015385	2.9
131	-1.104085	95.047682	11.187913	0.010229	2.7
132	-1.119512	96.047682	11.092329	0.009149	2.8
133	-1.122296	95.992741	11.097538	0.012492	2.9
134	-1.115025	96.992741	11.003485	0.009461	2.9
135	-1.123986	97.992741	10.911013	0.007432	3.0
136	-1.142379	97.938090	10.916027	0.014856	2.6
137	-1.120706	98.938090	10.825013	0.005700	2.8
138	-1.128873	99.197329	10.801666	0.006760	2.8
139	-1.119384	99.342578	10.788629	0.010151	2.6
140	-1.070463	99.287729	10.793548	0.008243	2.9
141	-1.135511	100.287729	10.704557	0.005809	3.1
142	-1.149355	100.233406	10.709353	0.007370	3.1
143	-1.161467	100.178494	10.714206	0.006517	2.7
144	-1.097612	100.132062	10.718313	0.010463	2.7
145	-1.130110	101.132056	10.630554	0.007718	2.8
146	-1.114791	102.132055	10.544219	0.008324	3.0
147	-1.122396	102.618591	10.502719	0.010649	2.9
148	-1.128033	103.617047	10.418570	0.011320	2.6
149	-1.144823	104.617047	10.335630	0.013413	3.0
150	-1.115384	105.617047	10.254001	0.007064	3.2
151	-1.147068	105.744277	10.243708	0.009727	3.0
152	-1.138453	105.689336	10.248150	0.006460	2.9
153	-1.160977	105.635015	10.252546	0.007375	2.7
154	-1.155520	106.371851	10.193236	0.007181	3.1
155	-1.141488	107.371525	10.113858	0.013195	2.9
156	-1.145920	108.371525	10.035681	0.010409	2.8
157	-1.158955	108.617679	10.016623	0.007084	2.7
158	-1.122470	108.601672	10.017860	0.007919	2.9
